County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)","Average Annual Count",Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Duval County, Florida(6)",12031,Urban,25.8 ,24.4, 27.2,N/A , N/A , N/A,286,stable,-2.4 ,-8.3, 3.3
"Glades County, Florida(6)",12043,Rural,25.8 ,17, 39.2,N/A , N/A , N/A,6,stable,15.9 ,-2.3, 49.1
"Seneca County, New York(7)",36099,Rural,25.8 ,19.2, 34,N/A , N/A , N/A,12,rising,3.2 ,0.2, 6.8
"Paulding County, Ohio(6)",39125,Rural,25.8 ,17.1, 37.6,N/A , N/A , N/A,6,*,*,*,*
"Adams County, Nebraska(6)",31001,Rural,25.8 ,18.8, 34.6,N/A , N/A , N/A,10,stable,0.4 ,-4.0, 5.0
"Brown County, Ohio(6)",39015,Urban,25.8 ,19.9, 32.9,N/A , N/A , N/A,14,rising,3.7 ,1.0, 6.8
"Dale County, Alabama(6)",01045,Rural,25.8 ,20.1, 32.5,N/A , N/A , N/A,15,rising,4.4 ,2.4, 6.8
"Meeker County, Minnesota(6)",27093,Rural,25.7 ,17.8, 36.2,N/A , N/A , N/A,8,stable,3.7 ,-1.1, 9.8
"Whatcom County, Washington(7)",53073,Urban,25.7 ,23, 28.7,N/A , N/A , N/A,71,stable,8.1 ,-0.8, 15.8
"Carroll County, Arkansas(6)",05015,Rural,25.7 ,18.5, 35,N/A , N/A , N/A,10,rising,5.9 ,2.7, 10.4
"Lawrence County, Mississippi(6)",28077,Rural,25.7 ,14.7, 41.8,N/A , N/A , N/A,4,*,*,*,*
"Lewis County, Kentucky(7)",21135,Rural,25.7 ,15, 41.1,N/A , N/A , N/A,4,*,*,*,*
"Newton County, Georgia(7)",13217,Urban,25.7 ,21.6, 30.3,N/A , N/A , N/A,29,stable,0.6 ,-1.4, 2.9
"Pasquotank County, North Carolina(6)",37139,Rural,25.7 ,19.4, 33.5,N/A , N/A , N/A,12,stable,2.4 ,-2.3, 7.8
"Lawrence County, Arkansas(6)",05075,Rural,25.7 ,16, 39.1,N/A , N/A , N/A,5,stable,4.8 ,-0.5, 11.1
"Nelson County, Virginia(6)",51125,Urban,25.7 ,16.9, 38.2,N/A , N/A , N/A,6,stable,-2.2 ,-5.7, 1.0
"Palm Beach County, Florida(6)",12099,Urban,25.7 ,24.7, 26.7,N/A , N/A , N/A,604,falling,-6.9 ,-10.9, -4.4
"Oconee County, Georgia(7)",13219,Urban,25.6 ,19.7, 32.9,N/A , N/A , N/A,13,stable,-8.1 ,-23.3, 0.5
"McMinn County, Tennessee(6)",47107,Rural,25.6 ,20.5, 31.8,N/A , N/A , N/A,19,stable,2.8 ,-0.2, 6.3
"Carter County, Tennessee(6)",47019,Urban,25.6 ,20.7, 31.5,N/A , N/A , N/A,21,rising,4.1 ,0.8, 8.1
"Armstrong County, Pennsylvania(6)",42005,Urban,25.6 ,20.8, 31.3,N/A , N/A , N/A,24,rising,4.7 ,2.1, 8.0
"Monroe County, Wisconsin(6)",55081,Rural,25.6 ,19.9, 32.6,N/A , N/A , N/A,15,stable,2.7 ,-1.1, 7.1
"Latah County, Idaho(7)",16057,Rural,25.6 ,18.6, 34.4,N/A , N/A , N/A,9,stable,1.0 ,-2.2, 4.8
"Atlantic County, New Jersey(7)",34001,Urban,25.6 ,23.3, 28.1,N/A , N/A , N/A,95,stable,1.0 ,-0.2, 2.2
"Mecklenburg County, North Carolina(6)",37119,Urban,25.6 ,24.2, 27,N/A , N/A , N/A,271,rising,4.8 ,0.5, 11.4
"Morrison County, Minnesota(6)",27097,Rural,25.6 ,19.1, 33.8,N/A , N/A , N/A,12,rising,3.2 ,0.9, 6.0
"Okaloosa County, Florida(6)",12091,Urban,25.6 ,22.8, 28.7,N/A , N/A , N/A,64,falling,-4.8 ,-14.3, -0.1
"Stephens County, Texas(7)",48429,Rural,25.6 ,14.4, 42.9,N/A , N/A , N/A,3,*,*,*,*
"Columbia County, Wisconsin(6)",55021,Urban,25.6 ,20.5, 31.6,N/A , N/A , N/A,19,rising,3.6 ,1.3, 6.4
"Lee County, Illinois(7)",17103,Rural,25.6 ,19.3, 33.5,N/A , N/A , N/A,12,rising,3.1 ,0.4, 6.4
"Marion County, Florida(6)",12083,Urban,25.6 ,23.6, 27.6,N/A , N/A , N/A,163,rising,1.6 ,0.5, 2.9
"Cobb County, Georgia(7)",13067,Urban,25.6 ,24, 27.2,N/A , N/A , N/A,205,falling,-6.4 ,-9.9, -4.0
"Mason County, Kentucky(7)",21161,Rural,25.6 ,16.7, 37.7,N/A , N/A , N/A,6,stable,2.2 ,-1.4, 14.0
"Lawrence County, Ohio(6)",39087,Urban,25.5 ,20.4, 31.6,N/A , N/A , N/A,19,stable,2.2 ,-0.2, 4.9
"Horry County, South Carolina(6)",45051,Urban,25.5 ,23.5, 27.8,N/A , N/A , N/A,138,stable,-0.9 ,-3.0, 1.4
"Onslow County, North Carolina(6)",37133,Urban,25.5 ,22, 29.5,N/A , N/A , N/A,39,rising,3.2 ,0.8, 6.2
"Winston County, Alabama(6)",01133,Rural,25.5 ,18.3, 35,N/A , N/A , N/A,9,stable,-1.3 ,-5.8, 3.3
"Van Buren County, Arkansas(6)",05141,Rural,25.5 ,17.1, 37.4,N/A , N/A , N/A,7,stable,3.4 ,-2.6, 11.3
"Pamlico County, North Carolina(6)",37137,Rural,25.5 ,16.6, 39.1,N/A , N/A , N/A,6,stable,2.3 ,-3.0, 8.8
"Madison County, Alabama(6)",01089,Urban,25.5 ,23.4, 27.7,N/A , N/A , N/A,112,rising,3.1 ,1.9, 4.8
"Baker County, Florida(6)",12003,Urban,25.5 ,18, 35.1,N/A , N/A , N/A,8,stable,2.2 ,-2.8, 8.5
"Kent County, Delaware(6)",10001,Urban,25.5 ,22.4, 28.8,N/A , N/A , N/A,54,stable,-7.5 ,-15.7, 1.3
"Clearwater County, Idaho(7)",16035,Rural,25.5 ,13.7, 44.7,N/A , N/A , N/A,3,stable,1.8 ,-4.1, 8.4
"Lorain County, Ohio(6)",39093,Urban,25.5 ,23.2, 27.9,N/A , N/A , N/A,102,rising,2.3 ,0.8, 4.1
"Yamhill County, Oregon(6)",41071,Urban,25.5 ,21.7, 29.8,N/A , N/A , N/A,34,stable,1.5 ,-0.6, 4.0
"Plumas County, California(7)",06063,Rural,25.4 ,17.9, 35.8,N/A , N/A , N/A,10,stable,2.9 ,-0.2, 6.5
"Jones County, Texas(7)",48253,Urban,25.4 ,17.1, 36.7,N/A , N/A , N/A,6,*,*,*,*
"Mecklenburg County, Virginia(6)",51117,Rural,25.4 ,18.4, 34.3,N/A , N/A , N/A,11,*,*,*,*
"Delta County, Colorado(6)",08029,Rural,25.4 ,18.9, 33.6,N/A , N/A , N/A,13,stable,-1.1 ,-28.7, 9.7
"Suffolk County, New York(7)",36103,Urban,25.4 ,24.4, 26.4,N/A , N/A , N/A,496,stable,0.1 ,-2.3, 1.4
"Clatsop County, Oregon(6)",41007,Rural,25.4 ,19.6, 32.6,N/A , N/A , N/A,15,stable,-16.5 ,-30.5, 0.8
"Craighead County, Arkansas(6)",05031,Urban,25.4 ,21.3, 30,N/A , N/A , N/A,29,rising,3.0 ,0.7, 5.7
"Walton County, Florida(6)",12131,Urban,25.4 ,21, 30.5,N/A , N/A , N/A,26,stable,1.7 ,-1.7, 6.1
"DeSoto County, Florida(6)",12027,Rural,25.4 ,19.6, 32.7,N/A , N/A , N/A,14,stable,3.1 ,-0.4, 7.5
"Union County, South Carolina(6)",45087,Urban,25.4 ,18.4, 34.4,N/A , N/A , N/A,10,stable,-5.4 ,-24.5, 10.7
"Walker County, Alabama(6)",01127,Urban,25.4 ,20.5, 31.1,N/A , N/A , N/A,21,stable,3.3 ,-0.3, 7.2
"Herkimer County, New York(7)",36043,Urban,25.3 ,20.4, 31.2,N/A , N/A , N/A,21,rising,4.9 ,2.5, 7.8
"Calaveras County, California(7)",06009,Rural,25.3 ,20.2, 31.6,N/A , N/A , N/A,21,stable,-6.9 ,-22.3, 0.8
"Ottawa County, Oklahoma(6)",40115,Rural,25.3 ,18.4, 34,N/A , N/A , N/A,10,rising,3.8 ,0.6, 8.0
"Jefferson County, Wisconsin(6)",55055,Rural,25.3 ,21, 30.3,N/A , N/A , N/A,26,rising,4.2 ,2.1, 6.8
"Marshall County, West Virginia(6)",54051,Urban,25.3 ,18.6, 33.8,N/A , N/A , N/A,11,rising,4.9 ,0.4, 10.4
"Marion County, West Virginia(6)",54049,Rural,25.3 ,20, 31.5,N/A , N/A , N/A,17,stable,1.4 ,-0.7, 3.7
"Coweta County, Georgia(7)",13077,Urban,25.3 ,21.8, 29.1,N/A , N/A , N/A,40,stable,1.4 ,-0.1, 3.1
"Montgomery County, Virginia(6)",51121,Urban,25.3 ,20.8, 30.4,N/A , N/A , N/A,24,stable,0.8 ,-3.2, 5.2
"Rock Island County, Illinois(7)",17161,Urban,25.2 ,21.9, 28.9,N/A , N/A , N/A,46,stable,1.8 ,-0.3, 4.1
"Morris County, New Jersey(7)",34027,Urban,25.2 ,23.5, 27.1,N/A , N/A , N/A,168,stable,0.1 ,-0.6, 0.8
"Pennington County, South Dakota(6)",46103,Urban,25.2 ,21.4, 29.6,N/A , N/A , N/A,34,stable,1.6 ,-1.5, 5.5
"Red Willow County, Nebraska(6)",31145,Rural,25.2 ,15.6, 39.7,N/A , N/A , N/A,4,*,*,*,*
"Clark County, Ohio(6)",39023,Urban,25.2 ,21.8, 28.9,N/A , N/A , N/A,44,rising,2.9 ,1.2, 4.7
"Nicholas County, West Virginia(6)",54067,Rural,25.2 ,18, 34.6,N/A , N/A , N/A,9,stable,1.3 ,-2.5, 5.4
"Sequoyah County, Oklahoma(6)",40135,Urban,25.2 ,19.1, 32.7,N/A , N/A , N/A,12,*,*,*,*
"Henry County, Georgia(7)",13151,Urban,25.2 ,22.3, 28.4,N/A , N/A , N/A,58,stable,1.1 ,-1.3, 4.0
"Saratoga County, New York(7)",36091,Urban,25.2 ,22.6, 27.9,N/A , N/A , N/A,77,stable,0.1 ,-5.1, 2.5
"Waynesboro City, Virginia(6)",51820,Urban,25.2 ,17, 35.9,N/A , N/A , N/A,7,stable,3.9 ,-0.7, 9.4
"Calhoun County, Alabama(6)",01015,Urban,25.2 ,21.3, 29.5,N/A , N/A , N/A,33,stable,1.9 ,-1.8, 5.7
"Tama County, Iowa(7)",19171,Rural,25.1 ,16.3, 37.3,N/A , N/A , N/A,6,*,*,*,*
"Upshur County, West Virginia(6)",54097,Rural,25.1 ,17.7, 34.8,N/A , N/A , N/A,8,stable,0.6 ,-3.3, 5.4
"Kenosha County, Wisconsin(6)",55059,Urban,25.1 ,22, 28.6,N/A , N/A , N/A,48,rising,6.2 ,2.8, 10.8
"Holt County, Nebraska(6)",31089,Rural,25.1 ,13.5, 43,N/A , N/A , N/A,3,*,*,*,*
"Vernon County, Wisconsin(6)",55123,Urban,25.1 ,18.3, 33.7,N/A , N/A , N/A,10,stable,3.2 ,-0.9, 8.1
"Putnam County, Tennessee(6)",47141,Rural,25.1 ,20.6, 30.3,N/A , N/A , N/A,23,stable,1.4 ,-3.3, 7.0
"Meade County, Kentucky(7)",21163,Urban,25.1 ,17.8, 34.3,N/A , N/A , N/A,8,*,*,*,*
"Davison County, South Dakota(6)",46035,Rural,25.1 ,17.1, 35.8,N/A , N/A , N/A,7,stable,1.8 ,-3.3, 8.3
"Taylor County, West Virginia(6)",54091,Rural,25 ,16.6, 36.8,N/A , N/A , N/A,6,*,*,*,*
"Tallapoosa County, Alabama(6)",01123,Rural,25 ,18.8, 32.8,N/A , N/A , N/A,13,rising,4.1 ,0.5, 8.6
"Riverside County, California(7)",06065,Urban,25 ,24.2, 25.9,N/A , N/A , N/A,667,rising,1.1 ,0.3, 2.1
"Nobles County, Minnesota(6)",27105,Rural,25 ,17, 35.6,N/A , N/A , N/A,7,stable,1.4 ,-2.3, 5.5
"Greenup County, Kentucky(7)",21089,Urban,25 ,18.7, 32.8,N/A , N/A , N/A,12,stable,1.2 ,-1.1, 3.6
"Lycoming County, Pennsylvania(6)",42081,Urban,25 ,21.4, 29,N/A , N/A , N/A,39,stable,2.2 ,-0.3, 5.0
"Arenac County, Michigan(6)",26011,Rural,25 ,16, 37.8,N/A , N/A , N/A,6,stable,3.7 ,-0.7, 9.1
"Langlade County, Wisconsin(6)",55067,Rural,25 ,16.9, 35.9,N/A , N/A , N/A,8,*,*,*,*
"Brantley County, Georgia(7)",13025,Urban,25 ,15.8, 37.5,N/A , N/A , N/A,5,*,*,*,*
"Elbert County, Georgia(7)",13105,Rural,25 ,16.2, 36.9,N/A , N/A , N/A,6,rising,4.6 ,1.0, 9.2
"Lincoln County, Nebraska(6)",31111,Rural,25 ,19, 32.4,N/A , N/A , N/A,13,stable,3.0 ,-0.1, 7.0
"Livingston County, Missouri(6)",29117,Rural,24.9 ,15.4, 38.3,N/A , N/A , N/A,5,*,*,*,*
"Henry County, Iowa(7)",19087,Rural,24.9 ,16.6, 36,N/A , N/A , N/A,6,rising,3.3 ,1.0, 6.5
"Seminole County, Florida(6)",12117,Urban,24.9 ,23, 26.8,N/A , N/A , N/A,140,rising,1.7 ,0.7, 2.8
"Drew County, Arkansas(6)",05043,Rural,24.9 ,15.9, 37.2,N/A , N/A , N/A,5,*,*,*,*
"Swift County, Minnesota(6)",27151,Rural,24.9 ,14.3, 41.2,N/A , N/A , N/A,4,*,*,*,*
"Camden County, North Carolina(6)",37029,Urban,24.8 ,13.9, 41.5,N/A , N/A , N/A,3,*,*,*,*
"Harris County, Georgia(7)",13145,Urban,24.8 ,18.4, 33,N/A , N/A , N/A,11,stable,-26.1 ,-44.9, 1.8
"Essex County, New York(7)",36031,Rural,24.8 ,19.1, 32,N/A , N/A , N/A,15,stable,0.8 ,-2.4, 4.4
"Chenango County, New York(7)",36017,Rural,24.8 ,19.2, 31.6,N/A , N/A , N/A,16,rising,3.0 ,0.1, 6.4
"Franklin County, Florida(6)",12037,Rural,24.8 ,15.9, 38.3,N/A , N/A , N/A,6,*,*,*,*
"Hardee County, Florida(6)",12049,Rural,24.8 ,17.2, 34.7,N/A , N/A , N/A,7,stable,1.9 ,-3.6, 7.9
"Haskell County, Oklahoma(6)",40061,Rural,24.8 ,15.2, 39,N/A , N/A , N/A,4,*,*,*,*
"Crawford County, Georgia(7)",13079,Urban,24.8 ,14, 40.8,N/A , N/A , N/A,4,*,*,*,*
"Gilchrist County, Florida(6)",12041,Urban,24.8 ,16.2, 36.6,N/A , N/A , N/A,6,stable,2.1 ,-1.3, 6.4
"Kingfisher County, Oklahoma(6)",40073,Rural,24.8 ,15.3, 38.2,N/A , N/A , N/A,4,stable,0.3 ,-4.3, 4.9
"Jackson County, Kentucky(7)",21109,Rural,24.8 ,14.9, 39.2,N/A , N/A , N/A,4,stable,0.1 ,-2.6, 3.1
"Sweetwater County, Wyoming(6)",56037,Rural,24.8 ,18.5, 32.5,N/A , N/A , N/A,11,stable,-1.3 ,-5.7, 3.5
"Park County, Colorado(6)",08093,Urban,24.8 ,15.6, 37.9,N/A , N/A , N/A,6,rising,29.1 ,1.7, 52.9
"Hillsborough County, New Hampshire(6)",33011,Urban,24.7 ,22.8, 26.8,N/A , N/A , N/A,127,stable,-0.1 ,-1.1, 1.0
"Osage County, Missouri(6)",29151,Urban,24.7 ,14.8, 39.1,N/A , N/A , N/A,4,*,*,*,*
"St. Charles County, Missouri(6)",29183,Urban,24.7 ,22.7, 26.9,N/A , N/A , N/A,117,stable,0.4 ,-0.9, 1.9
"Logan County, Arkansas(6)",05083,Rural,24.7 ,17.1, 34.9,N/A , N/A , N/A,7,stable,3.4 ,-0.2, 8.0
"Logan County, Oklahoma(6)",40083,Urban,24.7 ,19, 31.6,N/A , N/A , N/A,14,stable,-6.0 ,-24.5, 4.2
"Hamilton County, Iowa(7)",19079,Rural,24.7 ,14.9, 38.6,N/A , N/A , N/A,5,stable,2.4 ,-0.3, 6.4
"Rhea County, Tennessee(6)",47143,Rural,24.7 ,18.2, 32.8,N/A , N/A , N/A,11,stable,-0.4 ,-5.5, 5.3
"Gwinnett County, Georgia(7)",13135,Urban,24.7 ,23.2, 26.2,N/A , N/A , N/A,221,falling,-8.7 ,-15.2, -1.1
"Casey County, Kentucky(7)",21045,Rural,24.7 ,15.7, 37.2,N/A , N/A , N/A,5,stable,0.7 ,-2.3, 3.9
"Worth County, Georgia(7)",13321,Urban,24.6 ,16.6, 35.5,N/A , N/A , N/A,7,*,*,*,*
"Northumberland County, Pennsylvania(6)",42097,Rural,24.6 ,20.8, 29.1,N/A , N/A , N/A,32,stable,1.9 ,-1.0, 5.0
"Salem County, New Jersey(7)",34033,Urban,24.6 ,20, 30.1,N/A , N/A , N/A,21,stable,-0.9 ,-8.2, 2.3
"Lincoln County, Mississippi(6)",28085,Rural,24.6 ,18, 32.9,N/A , N/A , N/A,10,stable,1.0 ,-1.9, 4.2
"Sandusky County, Ohio(6)",39143,Rural,24.6 ,19.9, 30.1,N/A , N/A , N/A,21,rising,3.9 ,1.2, 7.3
"Columbiana County, Ohio(6)",39029,Rural,24.6 ,20.9, 28.8,N/A , N/A , N/A,35,stable,1.5 ,-1.3, 4.6
"Butler County, Ohio(6)",39017,Urban,24.6 ,22.5, 26.8,N/A , N/A , N/A,108,rising,12.5 ,4.2, 19.7
"Lebanon County, Pennsylvania(6)",42075,Urban,24.6 ,21.3, 28.2,N/A , N/A , N/A,46,stable,1.7 ,0.0, 3.6
"Jefferson County, Colorado(6)",08059,Urban,24.6 ,22.9, 26.3,N/A , N/A , N/A,171,stable,0.6 ,-0.6, 1.9
"Racine County, Wisconsin(6)",55101,Urban,24.5 ,21.7, 27.7,N/A , N/A , N/A,59,rising,4.9 ,2.3, 8.4
"Morgan County, Ohio(6)",39115,Rural,24.5 ,15.7, 37.2,N/A , N/A , N/A,5,*,*,*,*
"Newaygo County, Michigan(6)",26123,Rural,24.5 ,19.1, 31.1,N/A , N/A , N/A,16,stable,-1.7 ,-15.3, 1.8
"Broome County, New York(7)",36007,Urban,24.5 ,21.7, 27.6,N/A , N/A , N/A,64,rising,2.9 ,1.6, 4.3
"Auglaize County, Ohio(6)",39011,Rural,24.5 ,18.9, 31.3,N/A , N/A , N/A,14,stable,-9.1 ,-23.2, 0.4
"Lamar County, Alabama(6)",01075,Rural,24.5 ,14.1, 39.5,N/A , N/A , N/A,4,*,*,*,*
"Pulaski County, Arkansas(6)",05119,Urban,24.4 ,22.4, 26.6,N/A , N/A , N/A,111,stable,0.9 ,-6.6, 5.0
"Fremont County, Idaho(7)",16043,Rural,24.4 ,14.6, 38.6,N/A , N/A , N/A,4,stable,1.4 ,-2.2, 5.6
"Emmet County, Michigan(6)",26047,Rural,24.4 ,18, 32.5,N/A , N/A , N/A,12,falling,-8.3 ,-15.8, -5.0
"Harrison County, Ohio(6)",39067,Rural,24.4 ,15.3, 37.4,N/A , N/A , N/A,5,*,*,*,*
"Van Wert County, Ohio(6)",39161,Rural,24.4 ,17.4, 33.3,N/A , N/A , N/A,9,rising,3.1 ,0.4, 6.2
"Fond du Lac County, Wisconsin(6)",55039,Urban,24.4 ,20.6, 28.7,N/A , N/A , N/A,32,stable,-0.5 ,-3.6, 2.7
"St. Clair County, Michigan(6)",26147,Urban,24.4 ,21.3, 27.7,N/A , N/A , N/A,52,stable,-1.8 ,-4.4, 0.0
"Stutsman County, North Dakota(6)",38093,Rural,24.3 ,16.2, 35.3,N/A , N/A , N/A,7,stable,-5.5 ,-36.6, 0.6
"Albany County, New York(7)",36001,Urban,24.3 ,22.1, 26.7,N/A , N/A , N/A,94,rising,4.6 ,3.5, 6.0
"San Benito County, California(7)",06069,Urban,24.3 ,19.1, 30.5,N/A , N/A , N/A,16,rising,2.0 ,0.4, 4.0
"Sheboygan County, Wisconsin(6)",55117,Urban,24.3 ,20.7, 28.3,N/A , N/A , N/A,36,stable,0.6 ,-1.1, 2.4
"Burleigh County, North Dakota(6)",38015,Urban,24.3 ,20.3, 28.9,N/A , N/A , N/A,28,rising,3.5 ,1.5, 5.9
"Douglas County, Washington(6)",53017,Urban,24.3 ,18.6, 31.3,N/A , N/A , N/A,13,stable,1.5 ,-0.8, 4.4
"Randolph County, Illinois(7)",17157,Rural,24.3 ,17.8, 32.5,N/A , N/A , N/A,10,stable,2.1 ,-0.2, 4.8
"Broomfield County, Colorado(6)",08014,Urban,24.3 ,19.6, 29.7,N/A , N/A , N/A,19,stable,0.2 ,-1.9, 3.0
"Stone County, Mississippi(6)",28131,Urban,24.2 ,15.8, 35.9,N/A , N/A , N/A,6,*,*,*,*
"Cooper County, Missouri(6)",29053,Urban,24.2 ,15, 37,N/A , N/A , N/A,5,stable,5.2 ,-1.1, 13.4
"Grays Harbor County, Washington(7)",53027,Rural,24.2 ,19.9, 29.3,N/A , N/A , N/A,25,rising,4.9 ,2.1, 15.5
"Copiah County, Mississippi(6)",28029,Urban,24.2 ,17.1, 33.4,N/A , N/A , N/A,8,stable,1.3 ,-3.4, 6.5
"St. Marys County, Maryland(6)",24037,Urban,24.2 ,20.3, 28.7,N/A , N/A , N/A,29,stable,-0.4 ,-3.0, 2.3
"Johnson County, Arkansas(6)",05071,Rural,24.2 ,17, 33.6,N/A , N/A , N/A,8,stable,1.3 ,-3.3, 6.3
"Mercer County, West Virginia(6)",54055,Rural,24.2 ,19.3, 30.1,N/A , N/A , N/A,19,stable,0.6 ,-1.4, 2.7
"Fluvanna County, Virginia(6)",51065,Urban,24.2 ,17.3, 33.1,N/A , N/A , N/A,9,stable,-0.9 ,-4.5, 2.9
"Palo Pinto County, Texas(7)",48363,Rural,24.2 ,17, 33.4,N/A , N/A , N/A,8,stable,1.7 ,-1.4, 5.2
"Pulaski County, Georgia(7)",13235,Rural,24.2 ,14.1, 39.9,N/A , N/A , N/A,4,*,*,*,*
"DuPage County, Illinois(7)",17043,Urban,24.2 ,22.9, 25.5,N/A , N/A , N/A,270,falling,-3.0 ,-8.4, -0.3
"Nowata County, Oklahoma(6)",40105,Rural,24.1 ,13.6, 40.5,N/A , N/A , N/A,3,*,*,*,*
"Baldwin County, Georgia(7)",13009,Rural,24.1 ,18.2, 31.4,N/A , N/A , N/A,12,stable,1.7 ,-1.5, 5.6
"Wise County, Texas(7)",48497,Urban,24.1 ,19.4, 29.7,N/A , N/A , N/A,19,rising,4.4 ,2.4, 7.3
"Elmore County, Idaho(7)",16039,Rural,24.1 ,16.5, 34,N/A , N/A , N/A,7,stable,1.7 ,-1.3, 5.5
"Richmond County, Virginia(6)",51159,Rural,24.1 ,13.8, 40.4,N/A , N/A , N/A,3,*,*,*,*
"York County, South Carolina(6)",45091,Urban,24 ,21.6, 26.7,N/A , N/A , N/A,73,stable,1.0 ,-0.8, 3.1
"Harrison County, Kentucky(7)",21097,Rural,24 ,15.5, 35.7,N/A , N/A , N/A,5,*,*,*,*
"Pawnee County, Oklahoma(6)",40117,Urban,24 ,15.1, 36.6,N/A , N/A , N/A,5,*,*,*,*
"Montgomery County, Ohio(6)",39113,Urban,24 ,22.3, 25.8,N/A , N/A , N/A,160,rising,3.2 ,1.6, 5.2
"Wayne County, Georgia(7)",13305,Rural,24 ,17.3, 32.6,N/A , N/A , N/A,9,rising,4.6 ,1.7, 8.5
"Nottoway County, Virginia(6)",51135,Rural,24 ,15.1, 36.5,N/A , N/A , N/A,5,*,*,*,*
"Saunders County, Nebraska(6)",31155,Urban,24 ,15.9, 34.8,N/A , N/A , N/A,6,rising,4.4 ,0.2, 9.8
"Summers County, West Virginia(6)",54089,Rural,24 ,14.3, 38.6,N/A , N/A , N/A,4,stable,3.6 ,-1.6, 9.5
"Tillamook County, Oregon(6)",41057,Rural,24 ,17.5, 32.4,N/A , N/A , N/A,11,stable,0.2 ,-4.3, 5.2
"Essex County, Virginia(6)",51057,Rural,24 ,12.5, 41.8,N/A , N/A , N/A,3,*,*,*,*
"Barron County, Wisconsin(6)",55005,Rural,24 ,18.6, 30.6,N/A , N/A , N/A,16,rising,4.6 ,0.6, 9.6
"Orleans County, New York(7)",36073,Urban,24 ,18.2, 31.1,N/A , N/A , N/A,13,stable,-13.6 ,-40.0, 4.7
"Williamson County, Tennessee(6)",47187,Urban,24 ,21.3, 26.8,N/A , N/A , N/A,64,stable,-1.3 ,-21.4, 6.2
"Laramie County, Wyoming(6)",56021,Urban,24 ,20, 28.5,N/A , N/A , N/A,28,stable,1.7 ,-0.3, 4.1
"Ascension Parish, Louisiana(7)",22005,Urban,24 ,20.3, 28.2,N/A , N/A , N/A,31,rising,3.1 ,1.4, 5.6
"Dorchester County, South Carolina(6)",45035,Urban,24 ,20.7, 27.6,N/A , N/A , N/A,42,stable,-0.1 ,-1.7, 1.7
"Madera County, California(7)",06039,Urban,24 ,20.7, 27.6,N/A , N/A , N/A,40,rising,2.2 ,0.6, 4.1
"Autauga County, Alabama(6)",01001,Urban,24 ,18.8, 30.1,N/A , N/A , N/A,16,stable,-17.9 ,-42.7, 2.9
"York County, Nebraska(6)",31185,Rural,23.9 ,14.4, 37.6,N/A , N/A , N/A,4,*,*,*,*
"Schuyler County, New York(7)",36097,Rural,23.9 ,16.1, 34.7,N/A , N/A , N/A,7,stable,3.4 ,0.0, 7.7
"Peach County, Georgia(7)",13225,Urban,23.9 ,16.8, 33.1,N/A , N/A , N/A,8,rising,5.8 ,1.1, 13.1
"Comanche County, Oklahoma(6)",40031,Urban,23.9 ,20, 28.2,N/A , N/A , N/A,28,rising,17.2 ,3.5, 33.8
"Ravalli County, Montana(6)",30081,Rural,23.8 ,18.3, 30.7,N/A , N/A , N/A,16,stable,0.8 ,-3.1, 5.4
"Outagamie County, Wisconsin(6)",55087,Urban,23.8 ,20.9, 27.1,N/A , N/A , N/A,50,falling,-4.2 ,-11.0, -0.4
"Rock County, Wisconsin(6)",55105,Urban,23.8 ,20.8, 27.2,N/A , N/A , N/A,48,stable,1.8 ,-0.1, 4.0
"Grand Forks County, North Dakota(6)",38035,Urban,23.8 ,18.7, 29.9,N/A , N/A , N/A,16,rising,3.7 ,1.2, 6.8
"Lincoln County, Maine(6)",23015,Rural,23.8 ,18.3, 30.8,N/A , N/A , N/A,15,stable,2.0 ,-0.4, 4.7
"Yolo County, California(7)",06113,Urban,23.8 ,20.9, 27,N/A , N/A , N/A,49,stable,1.0 ,-0.6, 2.8
"Sebastian County, Arkansas(6)",05131,Urban,23.8 ,20.4, 27.7,N/A , N/A , N/A,36,stable,4.7 ,-9.5, 16.2
"Wyandot County, Ohio(6)",39175,Rural,23.8 ,16.2, 34,N/A , N/A , N/A,7,rising,5.5 ,2.0, 9.9
"Iowa County, Iowa(7)",19095,Rural,23.8 ,15, 36.1,N/A , N/A , N/A,5,*,*,*,*
"Calumet County, Wisconsin(6)",55015,Urban,23.8 ,18.6, 30.1,N/A , N/A , N/A,15,stable,-2.6 ,-12.8, 0.8
"Kane County, Illinois(7)",17089,Urban,23.8 ,22, 25.7,N/A , N/A , N/A,135,rising,3.7 ,2.6, 5.0
"Coconino County, Arizona(6)",04005,Urban,23.8 ,20.2, 27.8,N/A , N/A , N/A,34,stable,0.0 ,-2.3, 2.5
"Magoffin County, Kentucky(7)",21153,Rural,23.8 ,13.4, 39.3,N/A , N/A , N/A,3,stable,-0.3 ,-3.4, 2.8
"Washburn County, Wisconsin(6)",55129,Rural,23.7 ,15.8, 35.1,N/A , N/A , N/A,7,*,*,*,*
